Species 1,Species 2,Dist,Std. Err
PZ049732.1,PX480447.1,0.0911941112,0.0112117081
PZ049732.1,PX480446.1,0.0872742506,0.0109748233
PX480447.1,PX480446.1,0.0116279070,0.0034632951
PZ049732.1,PX480445.1,0.0938366481,0.0117159239
PX480447.1,PX480445.1,0.0227722772,0.0050013136
PX480446.1,PX480445.1,0.0186640472,0.0044455896
PZ049732.1,PX480444.1,0.0898816709,0.0113400265
PX480447.1,PX480444.1,0.0086705202,0.0030253855
PX480446.1,PX480444.1,0.0086705202,0.0029826946
PX480445.1,PX480444.1,0.0196850394,0.0045372453
PZ049732.1,PX480443.1,0.0882394169,0.0111145900
PX480447.1,PX480443.1,0.0310710523,0.0057292668
PX480446.1,PX480443.1,0.0268469847,0.0052097057
PX480445.1,PX480443.1,0.0258014650,0.0052136890
PX480444.1,PX480443.1,0.0278966781,0.0054048368
PZ049732.1,PX480442.1,0.0885750636,0.0111958373
PX480447.1,PX480442.1,0.0146198830,0.0038834711
PX480446.1,PX480442.1,0.0106382979,0.0032858523
PX480445.1,PX480442.1,0.0176470588,0.0043466046
PX480444.1,PX480442.1,0.0116279070,0.0034128507
PX480443.1,PX480442.1,0.0237228476,0.0047797923
PZ049732.1,PX480441.1,0.0898816709,0.0111980648
PX480447.1,PX480441.1,0.0156250000,0.0040449556
PX480446.1,PX480441.1,0.0116279070,0.0033110857
PX480445.1,PX480441.1,0.0186640472,0.0044766325
PX480444.1,PX480441.1,0.0126213592,0.0035771034
PX480443.1,PX480441.1,0.0247600942,0.0049467929
PX480442.1,PX480441.1,0.0028571429,0.0016390166
PZ049732.1,PX480440.1,0.0911941112,0.0115555232
PX480447.1,PX480440.1,0.0207100592,0.0047467974
PX480446.1,PX480440.1,0.0166340509,0.0042845434
PX480445.1,PX480440.1,0.0096525097,0.0031038865
PX480444.1,PX480440.1,0.0176470588,0.0043623714
PX480443.1,PX480440.1,0.0258014650,0.0051757787
PX480442.1,PX480440.1,0.0156250000,0.0040100798
PX480441.1,PX480440.1,0.0166340509,0.0041801224
